1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	sample
0.0482357215921191	0.136583731391628	0.0304373381562486	0.0397985798057446	0.000197459286261393	0.000282723974705572	0.0174038765713404	0.000202825024707879	0.00041698070750783	0.00521397678361254	0.000192965936297223	0.000486314743195329	0.00787111876345508	0.000138793587478284	0.000161273650217043	1.45338366954739e-05	0.712299725990278	3.91819965070707e-05	6.06730874939863e-06	1.68108932508723e-05	GTEX-111CU-0126-SM-5GZWZ
0.0546466302560227	0.185929703321169	0.0498592571153855	0.000490744515283907	0.00484322502854397	0.000375305165490425	0.00849012351017869	0.000165765351210242	0.000521755681013612	0.00689134035145238	7.97008070731357e-05	0.68304388777176	0.00169141715794399	0.000161110715144845	7.80049438445766e-05	3.13837858945352e-09	0.00265629680547954	7.34245337079335e-05	2.79355216352167e-07	2.02447570051089e-06	GTEX-111CU-0226-SM-5GZXC
1.40204885884945e-08	0.18515105306004	0.258241075472176	2.36522621221642e-08	0.00252890054101337	0.00184074423894215	0.0243685760382244	1.65984998254659e-05	0.000214029857158296	0.101244374844086	8.11686638709606e-05	0.286404243625191	0.130988275485264	0.00726225730648372	4.26608386972463e-05	8.32787607276482e-05	3.10629510489859e-05	0.00150165216096047	2.53733367246027e-09	7.44620536675935e-09	GTEX-111CU-0326-SM-5GZXO
0.157357101900647	0.298213944402306	0.0543137868141618	0.00312478094051998	0.00617945853956788	0.00243486571574198	0.0201104753676747	1.94974701641802e-08	0.000337809911453417	0.00351016361928949	7.2235983072281e-05	0.00460161252564104	0.225446208916393	0.000220289791627999	0.00504395827702729	0.000617564450443851	9.44092251423936e-05	0.21825493099578	3.61831477574812e-05	3.01999782813895e-05	GTEX-111CU-0426-SM-5GZY1
0.00418435931947641	0.00380961642241297	0.00287949708821892	0.000456442889325122	0.00021161078274679	0.000263473484114405	0.00143511677683225	2.46171137820896e-05	7.40558382935425e-05	0.00223602833881428	0.000157633708216602	6.15308916544009e-05	0.00031331153858157	0.000138148282826052	0.000231116320037077	2.27723329809341e-06	8.67869787027355e-05	2.730823696017e-05	0.453324203487264	0.530082865268443	GTEX-111CU-0526-SM-5EGHK
0.0312124523871048	0.0256842095874631	0.0260736045190133	0.00181466927478761	0.871446619614951	0.000299093733760792	0.0225142197362201	2.17966366379407e-07	4.58817109798465e-05	0.0185696543676862	0.00011706749230252	0.000174848376761323	0.001172680744991	8.73286876422761e-05	0.000306810300322965	3.63369625916962e-05	0.000103653687425919	5.5485485807749e-05	0.000188698326504048	9.6467037317695e-05	GTEX-111CU-0626-SM-5EGHL
0.0169536865203041	0.0828204881934544	0.0238636145342151	0.0013867675451027	0.103302827558478	0.741176118548843	0.00738011317426467	0.00017169847874448	0.000452689786407381	0.00368779548850187	4.39950011860404e-05	0.000444671034908804	0.00840027606463177	0.00693006599128763	0.00284768330348614	3.47596380602146e-09	9.41626294963496e-05	4.02275461596713e-05	1.14545665087893e-07	3.00057889886736e-06	GTEX-111CU-0726-SM-5GZYD
0.0965729283134866	0.0470364993248472	0.0697160001258395	0.000560892247642548	0.748911113371684	0.000294057232891844	0.0200205317490591	1.41404942802363e-07	6.12406752386621e-05	0.00627708621678389	0.000122924263111813	0.00015345462573689	0.00310772465575392	0.00523331856671559	0.00123545931105071	3.02811986894469e-07	0.000249079534462154	9.84085863071144e-05	0.000225420943066975	0.000123416039392174	GTEX-111CU-0826-SM-5EGIJ
0.0116856416735526	0.164451968284054	0.00175403607724045	0.000433415561995762	0.00696377344046919	0.000310946919212282	0.000402219774552757	1.27500496547524e-06	8.96169485021735e-05	0.00151678677789867	0.000278284059532481	9.55757916647974e-05	0.000182404852742787	0.805562061095471	0.000458113958879748	9.69052582335292e-06	0.000117055949061177	0.000775027032467594	0.000234090503132187	0.00467801576878156	GTEX-111CU-0926-SM-5EGIK
0.0138484091884392	0.170576476996654	0.778715005260577	0.0045668953042285	0.00100324506730363	0.000517951246950639	6.63248800463159e-08	0.000151206580083755	8.21568957442056e-05	0.0152162942161982	0.000311249016087305	8.88308652660792e-05	0.00965598069534476	0.000344801957304774	0.00314315454510108	0.000389153218802617	0.000686027555381389	0.000368481869240233	0.000239408929372018	9.52042670402451e-05	GTEX-111CU-1026-SM-5EGIL
0.22166852102038	0.107515187746852	0.0331898889687752	0.00274034385951249	0.00145899898520634	0.629177893858196	2.49506304358921e-07	4.74767607459539e-08	0.000387135128198043	0.00112979423662172	0.000250020331298145	0.000364381608050208	0.000157668736296693	0.000725459239814183	0.000317209621593047	2.36656038407048e-05	0.000187676594837036	0.000170586966043018	0.000389357537767767	0.000145912973652902	GTEX-111CU-1126-SM-5EGIM
0.0867787648152146	0.0326132410657937	0.0417204137049088	0.00301074580055447	0.757282664652572	0.00023134897657911	0.00169051658787854	3.84315430988072e-08	6.9215515791987e-05	0.0710598414287981	0.000165233288150207	0.000200352407103374	0.00428799671308951	0.000282636734222839	0.000159761412632617	6.88531821655805e-09	0.000139331157045568	7.06456485366734e-05	0.000164856910979554	7.23878632869718e-05	GTEX-111CU-1226-SM-5EGIN
0.0731560742347386	0.0705801634463756	0.210098038413445	0.00711058126008702	0.501901064492385	5.15186710778773e-06	0.0289727077383202	0.000200543595624055	1.65020448976928e-05	0.0808455879113618	4.15132356137741e-08	1.10874803797284e-05	0.0160631902573634	0.0042478663494133	0.00215004377191402	0.000248051807544053	9.19006633041286e-05	0.00143941194351723	1.05930359752677e-07	0.00286188527862593	GTEX-111CU-1326-SM-5NQ8L
